Id,ActivityDate,Calories,TotalDistance,TotalSteps,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,TotalMinutesAsleep,TotalTimeInBed
8053475328,4/20/16,3043,12.18999958,15108,9.579999924,0.230000004,2.380000114,0,486,493
8053475328,4/23/16,3554,17.19000053,22359,12.53999996,0.629999995,4.019999981,0,331,337
8053475328,5/7/16,3331,15.67000008,19769,12.43999958,0.879999995,2.349999905,0,74,75
4558609924,4/21/16,2486,9.079999924,13743,0.419999987,0.970000029,7.699999809,0,126,137
4558609924,5/8/16,2666,4.329999924,6543,1.799999952,0.5,2.019999981,0,123,134
4558609924,4/29/16,1918,5.179999828,7833,1.019999981,1.850000024,2.309999943,0,171,179
4558609924,4/26/16,2223,6.050000191,9148,0.430000007,2.029999971,3.589999914,0,103,121
4319703577,5/7/16,2158,5.329999924,7937,0.189999998,1.049999952,4.079999924,0,507,530
4319703577,4/30/16,2092,5.519999981,8221,0.400000006,1.610000014,3.50999999,0,490,516
4319703577,4/14/16,2302,6.880000114,10210,0.109999999,0.330000013,6.440000057,0,535,557
1503960366,4/23/16,1949,9.039999962,14371,2.809999943,0.870000005,5.360000134,0,361,384
1503960366,5/6/16,1896,8.029999733,12159,1.970000029,0.25,5.809999943,0,334,367
1503960366,5/1/16,1820,6.809999943,10602,2.289999962,1.600000024,2.920000076,0,369,396
1503960366,5/3/16,1990,9.659999847,15103,3.730000019,1.049999952,4.880000114,0,273,296
1503960366,5/7/16,1821,7.710000038,11992,2.460000038,2.119999886,3.130000114,0,331,349
1503960366,4/20/16,1786,6.679999828,10544,1.960000038,0.479999989,4.239999771,0,360,377
1503960366,4/25/16,2013,9.800000191,15355,5.289999962,0.569999993,3.940000057,0,277,323
1503960366,5/9/16,1819,7.71999979,12022,3.450000048,0.529999971,3.74000001,0,338,342
1503960366,5/2/16,2004,9.710000038,14727,3.210000038,0.569999993,5.920000076,0,277,309
1503960366,4/16/16,1863,8.159999847,12669,2.710000038,0.409999996,5.039999962,0,340,367
1503960366,4/13/16,1797,6.96999979,10735,1.570000052,0.689999998,4.710000038,0,384,407
1503960366,4/28/16,1898,8.529999733,13154,3.539999962,1.159999967,3.789999962,0,366,393
1503960366,4/15/16,1745,6.28000021,9762,2.140000105,1.25999999,2.829999924,0,412,442
1503960366,5/10/16,1859,7.769999981,12207,3.349999905,1.159999967,3.25999999,0,383,403
1503960366,4/17/16,1728,6.480000019,9705,3.190000057,0.779999971,2.50999999,0,700,712
2347167796,4/27/16,2194,7.579999924,11423,1.860000014,0.400000006,5.320000172,0,448,499
2347167796,4/23/16,2629,11.36999989,16901,2.779999971,1.450000048,7.150000095,0,374,386
2347167796,4/18/16,1944,5.449999809,8247,0.790000021,0.860000014,3.789999962,0,500,557
2347167796,4/21/16,2048,6.75,10080,1.850000024,1.529999971,3.380000114,0,460,484
2347167796,4/14/16,2010,6.699999809,10129,0.02,2.74000001,3.940000057,0,445,489
2347167796,4/13/16,2038,7.010000229,10352,1.659999967,1.940000057,3.410000086,0,467,531
4388161847,5/10/16,3061,7.920000076,10299,0.810000002,0.649999976,6.460000038,0,354,375
4388161847,5/2/16,3147,8.399999619,10096,3.769999981,0.079999998,4.550000191,0,368,376
4388161847,5/8/16,3934,14.38000011,17298,9.890000343,1.25999999,3.230000019,0,529,541
4388161847,5/11/16,2954,7.840000153,10201,0.529999971,0.790000021,6.53000021,0,469,494
4388161847,4/24/16,2885,7.880000114,10243,1.080000043,0.50999999,6.300000191,0,552,595
4388161847,4/28/16,2969,7.75,10074,1.289999962,0.430000007,6.03000021,0,428,458
4388161847,4/22/16,3544,9.340000153,12139,3.299999952,1.110000014,4.920000076,0,82,85
4388161847,4/26/16,2929,7.28000021,9461,0.939999998,1.059999943,5.269999981,0,319,346
4388161847,4/23/16,3306,10.18000031,13236,4.5,0.319999993,5.349999905,0,478,501
4388161847,4/20/16,3083,8.119999886,10553,1.100000024,1.720000029,5.289999962,0,421,451
4388161847,5/7/16,4022,17.54000092,22770,9.449999809,2.769999981,5.329999924,0,472,496
6775888955,4/14/16,2507,3.700000048,5162,0.870000005,0.860000014,1.970000029,0,423,441
6775888955,4/13/16,2400,2.910000086,4053,1.110000014,0.579999983,1.220000029,0,235,260
5553957443,5/10/16,2335,10.71000004,16358,3.869999886,1.610000014,5.199999809,0,418,443
5553957443,5/5/16,2156,9.510000229,14331,3.430000067,1.659999967,4.429999828,0,419,464
5553957443,4/12/16,633,2.24000001,3436,0.5,0.670000017,1.049999952,0,441,464
5553957443,4/21/16,2066,8.06000042,12346,2.950000048,2.160000086,2.960000038,0,399,431
5553957443,4/25/16,2033,7.190000057,10946,2.930000067,0.569999993,3.690000057,0,433,468
5553957443,4/22/16,2105,7.630000114,11682,1.379999995,0.629999995,5.599999905,0,322,353
5553957443,4/27/16,1922,6.880000114,10538,1.139999986,1,4.739999771,0,347,391
5553957443,5/8/16,1762,4,6083,0.219999999,0.469999999,3.299999952,0,568,608
5553957443,5/3/16,2116,8.390000343,12848,1.5,1.200000048,5.679999828,0,380,429
5553957443,4/26/16,2093,7.760000229,11886,2.369999886,0.930000007,4.460000038,0,412,453
5553957443,4/28/16,1999,7.630000114,11393,3.710000038,0.75,3.170000076,0,421,457
5553957443,4/14/16,2324,11.11999989,17022,4,2.450000048,4.670000076,0,357,418
7086361926,5/8/16,2534,7.099999905,10677,2.309999943,1.529999971,3.25,0,481,510
7086361926,4/20/16,2997,10.64000034,14365,7.639999866,0.449999988,2.539999962,0,492,502
7086361926,5/12/16,1199,2.559999943,3789,0.379999995,0.270000011,1.889999986,0,444,457
7086361926,4/22/16,2846,6.53000021,9753,2.869999886,0.970000029,2.670000076,0,428,448
7086361926,4/15/16,2395,5.670000076,8585,2.039999962,1.110000014,2.529999971,0,377,386
7086361926,5/2/16,2754,6.809999943,10052,3.480000019,0.660000026,2.660000086,0,440,459
7086361926,5/11/16,2735,6.519999981,9572,2.890000105,1.389999986,2.230000019,0,451,463
7086361926,5/7/16,2739,8.479999542,12827,1.460000038,2.329999924,4.679999828,0,530,548
7086361926,4/21/16,2463,6.179999828,9469,1.360000014,0.300000012,4.510000229,0,390,411
7086361926,5/3/16,2754,6.760000229,10288,2.74000001,0.850000024,3.160000086,0,456,461
7086361926,4/25/16,2752,6.820000172,10091,3.75,0.699999988,2.369999886,0,446,447
7086361926,5/1/16,2730,8.069999695,12390,2.299999952,0.899999976,4.849999905,0,388,407
7086361926,4/30/16,2995,9.409999847,14560,3.119999886,1.039999962,5.239999771,0,485,489
7086361926,4/27/16,2693,8.340000153,11107,5.630000114,0.180000007,2.529999971,0,469,479
7086361926,5/6/16,2924,8.380000114,12461,3.819999933,1.429999948,3.119999886,0,322,333
7086361926,5/4/16,2655,8.31000042,10988,5.28000021,0.119999997,2.900000095,0,420,436
7086361926,5/9/16,2960,9.109999657,13566,4.260000229,1.710000038,3.119999886,0,427,438
5577150313,4/16/16,4274,10.65999985,14269,6.639999866,1.279999971,2.730000019,0,406,445
5577150313,4/14/16,4022,6.420000076,8596,3.329999924,0.310000002,2.779999971,0,477,497
5577150313,4/24/16,4392,11.77999973,15764,7.650000095,2.150000095,1.980000019,0,543,615
5577150313,4/18/16,3625,7.389999866,9893,4.860000134,0.720000029,1.820000052,0,527,553
5577150313,4/26/16,3088,3.980000019,5325,0.850000024,0.649999976,2.470000029,0,354,377
5577150313,4/29/16,3544,5.920000076,7924,2.839999914,0.610000014,2.470000029,0,459,485
5577150313,5/11/16,1665,3.039999962,4038,1.830000043,0.300000012,0.889999986,0,431,476
5577150313,4/30/16,4501,9.239999771,12363,5.829999924,0.790000021,2.609999895,0,412,433
5577150313,4/12/16,3405,6.079999924,8135,3.599999905,0.379999995,2.099999905,0,419,438
5577150313,4/25/16,3374,4.78000021,6393,1.350000024,0.670000017,2.75999999,0,421,461
5577150313,4/15/16,4005,9.079999924,12087,3.920000076,1.600000024,3.559999943,0,392,413
5577150313,4/20/16,3192,6.21999979,8330,4.119999886,0.340000004,1.75999999,0,447,480
5577150313,4/21/16,4018,8.090000153,10830,3.650000095,1.659999967,2.779999971,0,414,437
5577150313,5/2/16,3014,5.559999943,7439,1.120000005,0.349999994,4.070000172,0,525,553
5577150313,5/1/16,4546,9.989999771,13368,5.309999943,1.440000057,3.24000001,0,379,398
5577150313,5/3/16,3795,8.25,11045,4.519999981,0.150000006,3.569999933,0,508,543
5577150313,4/28/16,3580,7.429999828,9841,3.25,1.169999957,3.00999999,0,361,372
5577150313,4/22/16,3329,6.849999905,9172,2.420000076,0.790000021,3.299999952,0,338,366
5577150313,4/19/16,3501,9.420000076,12574,7.019999981,0.639999986,1.75999999,0,449,465
5577150313,5/5/16,3004,5.639999866,7550,2.5,0.469999999,2.670000076,0,74,78
5577150313,4/23/16,3152,5.710000038,7638,1.210000038,0.360000014,4.139999866,0,384,402
5577150313,4/17/16,4552,9.140000343,12231,5.980000019,0.829999983,2.319999933,0,549,583
4445114986,4/26/16,2291,4.409999847,6326,2.410000086,0.039999999,1.960000038,0,353,391
4445114986,5/5/16,2120,2.549999952,3800,0.119999997,0.239999995,2.180000067,0,462,513
4445114986,5/3/16,2421,5.179999828,7502,2.480000019,0.109999999,2.579999924,0,417,450
4445114986,5/11/16,2499,6.110000134,9105,2.25,1,2.859999895,0,499,530
